Lateral(mm),Vertical(mm),Raw(µm)
9.706557274,10,-253.6624668
9.716402054,10,-254.2010828
9.72624588,10,-254.2674486
9.73609066,10,-254.0824174
9.745934486,10,-254.4590173
9.755779266,10,-254.3055748
9.765623093,10,-254.3902133
9.775467873,10,NaN
9.785312653,10,NaN
9.795156479,10,NaN
9.805001259,10,NaN
9.814845085,10,NaN
9.824689865,10,NaN
9.834534645,10,-252.9193145
9.844378471,10,-253.1463032
9.854223251,10,-252.9670861
9.864067078,10,-252.0043666
9.873911858,10,-251.9128959
9.883755684,10,-251.8840132
9.893600464,10,-251.929561
9.903445244,10,-252.0275691
9.91328907,10,-252.3795196
9.92313385,10,-251.3914273
9.932977676,10,-251.2851402
9.942822456,10,-251.5457271
9.952666283,10,-251.9354554
9.962511063,10,-251.6257305
9.972355843,10,-250.7405494
9.982199669,10,-251.0615005
9.992044449,10,-250.8725308
10.00188828,10,NaN
10.01173306,10,-250.8399507
10.02157784,10,-250.8981447
